product_name,product_url,category,status,stars
Computer Repair Services,https://yoshops.com/products/computer-repair-services,Bengaluru,,5.0 star rating
Travel Agency Services,https://yoshops.com/products/travel-agency-services,Bengaluru,,5.0 star rating
Baby Care Services,https://yoshops.com/products/baby-care-services,Bengaluru,,5.0 star rating
Personal Finance Service,https://yoshops.com/products/financial-services,Bengaluru,,5.0 star rating
Insurance Service,https://yoshops.com/products/insurance-service,Bengaluru,,5.0 star rating
Digital Marketing Services,https://yoshops.com/products/digital-marketing-services,Bengaluru,,5.0 star rating
Bulk SMS Service,https://yoshops.com/products/bulk-sms-service,Bengaluru,,5.0 star rating
SEO Services,https://yoshops.com/products/seo-services,Bengaluru,,5.0 star rating
Laundry Service,https://yoshops.com/products/laundry-service,Bengaluru,,5.0 star rating
Room Booking Service,https://yoshops.com/products/room-service,Bengaluru,,5.0 star rating
Cleaning Service,https://yoshops.com/products/cleaning-service,Bengaluru,,5.0 star rating
Labour Supply Service and Manpower Supply Service (Berhampur),https://yoshops.com/products/labour-supply-service-and-manpower-supply-service-berhampur,Bengaluru,,5.0 star rating
Movers Packer Service,https://yoshops.com/products/movers-packer-service,Bengaluru,,5.0 star rating
Plumbing Service and Plumber Service,https://yoshops.com/products/plumbing-service-and-plumber-service,Bengaluru,,5.0 star rating
Electrician Services,https://yoshops.com/products/electrician-services,Bengaluru,,5.0 star rating
Air Conditioner Service,https://yoshops.com/products/air-conditioner-service,Bengaluru,,5.0 star rating
Water Purifier Service,https://yoshops.com/products/water-purifier-service,Bengaluru,,5.0 star rating
Legal Services,https://yoshops.com/products/legal-services,Bengaluru,,5.0 star rating
Home Nursing Service,https://yoshops.com/products/home-nursing-service,Bengaluru,,5.0 star rating
Website & Mobile App Developing Service,https://yoshops.com/products/website-mobile-app-developing-service,Bengaluru,,5.0 star rating
Digital Marketing Internship Training Program,https://yoshops.com/products/digital-marketing-internship-training-program1,Bengaluru,Reviewd,5.0 star rating
Human Resource Internship Training Program,https://yoshops.com/products/human-resource-internship-training-program1,Bengaluru,Reviewd,5.0 star rating
Content Writing Internship Training Program,https://yoshops.com/products/content-writing-internship-training-program1,Bengaluru,,5.0 star rating
HR and Digital Marketing Dual Training Internship Course,https://yoshops.com/products/hr-and-digital-marketing-dual-training-internship-course1,Bengaluru,,5.0 star rating
SAP MM Business Analyst Internship Training Program,https://yoshops.com/products/sap-mm-business-analyst-internship-training-program,Bengaluru,,5.0 star rating
Business Development Internship Training Program,https://yoshops.com/products/business-development-internship-training-program1,Bengaluru,,5.0 star rating
HR and Finance Dual Internship Training Course,https://yoshops.com/products/hr-and-finance-dual-internship-training-course1,Bengaluru,,5.0 star rating
